position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_query_rows,live_typeform_urls,combined_typeform_urls,scan_mode,homepage_url,robots_status,http_status,pages_checked,live_email_candidates,publicwww_email_candidates,combined_email_candidates,email_visibility,corporate_status,corporate_exclusion_reason,site_contact_candidate_emails,parent_company_emails,legal_emails,third_party_emails,unverified_emails,verification_eligible_emails,verification_exclusion_reason,scan_notes,email_verification,valid_emails,invalid_emails,risky_emails,unknown_emails,verification_summary
7160,>30M,makedigital.ca,yes,,,0,0,https://form.typeform.com/to/raaJ7r9f,https://form.typeform.com/to/raaJ7r9f,contact_pages,https://www.makedigital.ca/,ok,200,2,ben.hofer@makedigital.ca ; gsap@3.12.5 ; info@makedigital.ca ; jay.jeating@makedigital.ca ; jay.keating@makedigital.ca ; lenis@1.2.3 ; lenis@1.3.1 ; michael.fess@makedigital.ca ; typed.js@2.0.12,,ben.hofer@makedigital.ca ; gsap@3.12.5 ; info@makedigital.ca ; jay.jeating@makedigital.ca ; jay.keating@makedigital.ca ; lenis@1.2.3 ; lenis@1.3.1 ; michael.fess@makedigital.ca ; typed.js@2.0.12,showing_email_candidates,not_flagged,,info@makedigital.ca,,,,ben.hofer@makedigital.ca ; gsap@3.12.5 ; jay.jeating@makedigital.ca ; jay.keating@makedigital.ca ; lenis@1.2.3 ; lenis@1.3.1 ; michael.fess@makedigital.ca ; typed.js@2.0.12,info@makedigital.ca,,,info@makedigital.ca=unknown (rate_limited),,,,info@makedigital.ca,valid=0; invalid=0; risky=0; unknown=1
7174,>30M,hycu.com,no,,,0,0,,,contact_pages,https://www.hycu.com/,ok,200,2,info@hycu.com ; support@hycu.com,,info@hycu.com ; support@hycu.com,showing_email_candidates,not_flagged,,info@hycu.com ; support@hycu.com,,,,,info@hycu.com ; support@hycu.com,,,info@hycu.com=unknown (rate_limited) ; support@hycu.com=unknown (rate_limited),,,,info@hycu.com ; support@hycu.com,valid=0; invalid=0; risky=0; unknown=2
7175,>30M,on-connect.de,yes,,,0,0,https://form.typeform.com/to/SUx3NEre,https://form.typeform.com/to/SUx3NEre,contact_pages,https://www.on-connect.de/,ok,200,2,info@on-connect.de ; team@on-connect.de,,info@on-connect.de ; team@on-connect.de,showing_email_candidates,not_flagged,,info@on-connect.de ; team@on-connect.de,,,,,info@on-connect.de ; team@on-connect.de,,,info@on-connect.de=unknown (rate_limited) ; team@on-connect.de=unknown (rate_limited),,,,info@on-connect.de ; team@on-connect.de,valid=0; invalid=0; risky=0; unknown=2
7180,>30M,lesengages.be,no,,,0,0,,,contact_pages,https://www.lesengages.be/,ok,200,2,audrey.jacquiez@diplobel.fed.be ; augustin.guissard@lesengages.be ; charles-dupont@gmail.com ; ckamango@parlement.brussels ; delara.pouya@matz.fed.be ; didier.defawe@lesengages.be ; emeline.huvelle@crucke.fed.be ; emmanuel.foulon@europarl.europa.eu ; info@lesengages.be ; jerome.hardy@gov.wallonie.be ; jquery-validation@1.17.0 ; jquery-validation@1.19.3 ; marc.debont@gov.cfwb.be ; margaux.leonard@gov.wallonie.be ; marine.lambrecht@lesengages.be ; michiel.petitjean@europarl.europa.eu ; quentin.parys@lesengages.be ; sebastien.debock@lesengages.be ; secretariatpw@lesengages.be ; stephanie.gomins@gov.wallonie.be ; valerie.lescrenier@gov.wallonie.be,,audrey.jacquiez@diplobel.fed.be ; augustin.guissard@lesengages.be ; charles-dupont@gmail.com ; ckamango@parlement.brussels ; delara.pouya@matz.fed.be ; didier.defawe@lesengages.be ; emeline.huvelle@crucke.fed.be ; emmanuel.foulon@europarl.europa.eu ; info@lesengages.be ; jerome.hardy@gov.wallonie.be ; jquery-validation@1.17.0 ; jquery-validation@1.19.3 ; marc.debont@gov.cfwb.be ; margaux.leonard@gov.wallonie.be ; marine.lambrecht@lesengages.be ; michiel.petitjean@europarl.europa.eu ; quentin.parys@lesengages.be ; sebastien.debock@lesengages.be ; secretariatpw@lesengages.be ; stephanie.gomins@gov.wallonie.be ; valerie.lescrenier@gov.wallonie.be,showing_email_candidates,not_flagged,,info@lesengages.be,,,,audrey.jacquiez@diplobel.fed.be ; augustin.guissard@lesengages.be ; charles-dupont@gmail.com ; ckamango@parlement.brussels ; delara.pouya@matz.fed.be ; didier.defawe@lesengages.be ; emeline.huvelle@crucke.fed.be ; emmanuel.foulon@europarl.europa.eu ; jerome.hardy@gov.wallonie.be ; jquery-validation@1.17.0 ; jquery-validation@1.19.3 ; marc.debont@gov.cfwb.be ; margaux.leonard@gov.wallonie.be ; marine.lambrecht@lesengages.be ; michiel.petitjean@europarl.europa.eu ; quentin.parys@lesengages.be ; sebastien.debock@lesengages.be ; secretariatpw@lesengages.be ; stephanie.gomins@gov.wallonie.be ; valerie.lescrenier@gov.wallonie.be,info@lesengages.be,,,info@lesengages.be=unknown (rate_limited),,,,info@lesengages.be,valid=0; invalid=0; risky=0; unknown=1
7183,>30M,simplifiedworkflows.com,no,,,0,0,,,contact_pages,https://simplifiedworkflows.com/,ok,200,2,support@simplifiedworkflows.com,,support@simplifiedworkflows.com,showing_email_candidates,not_flagged,,support@simplifiedworkflows.com,,,,,support@simplifiedworkflows.com,,,support@simplifiedworkflows.com=unknown (rate_limited),,,,support@simplifiedworkflows.com,valid=0; invalid=0; risky=0; unknown=1
7187,>30M,hdis.at,no,,,0,0,https://embed.typeform.com/,https://embed.typeform.com/,contact_pages,https://www.hdis.at/,ok,200,1,office@hdis.at,,office@hdis.at,showing_email_candidates,not_flagged,,office@hdis.at,,,,,office@hdis.at,,,office@hdis.at=unknown (rate_limited),,,,office@hdis.at,valid=0; invalid=0; risky=0; unknown=1
7196,>30M,chairsell.de,no,,,0,0,,,contact_pages,https://www.chairsell.de/,ok,200,1,info@chairsell.de,,info@chairsell.de,showing_email_candidates,not_flagged,,info@chairsell.de,,,,,info@chairsell.de,,,info@chairsell.de=unknown (rate_limited),,,,info@chairsell.de,valid=0; invalid=0; risky=0; unknown=1
7215,>30M,almacare.it,yes,,,0,0,https://fo9aytrzjfy.typeform.com/ ; https://fo9aytrzjfy.typeform.com/to/ReyQa2B2,https://fo9aytrzjfy.typeform.com/ ; https://fo9aytrzjfy.typeform.com/to/ReyQa2B2,contact_pages,https://almacare.it/,ok,200,0,info@almacare.it,,info@almacare.it,showing_email_candidates,not_flagged,,info@almacare.it,,,,,info@almacare.it,,,info@almacare.it=unknown (rate_limited),,,,info@almacare.it,valid=0; invalid=0; risky=0; unknown=1
7222,>30M,ethosfilms.com,yes,,,0,0,https://ethosfilms.typeform.com/to/RpEEHb,https://ethosfilms.typeform.com/to/RpEEHb,contact_pages,https://www.ethosfilms.com/,ok,200,0,info@ethosfilms.com,,info@ethosfilms.com,showing_email_candidates,not_flagged,,info@ethosfilms.com,,,,,info@ethosfilms.com,,,info@ethosfilms.com=unknown (rate_limited),,,,info@ethosfilms.com,valid=0; invalid=0; risky=0; unknown=1
7240,>30M,totaaldak.eu,no,,,0,0,,,contact_pages,https://www.totaaldak.eu/,ok,200,0,info@totaaldak.eu,,info@totaaldak.eu,showing_email_candidates,not_flagged,,info@totaaldak.eu,,,,,info@totaaldak.eu,,,info@totaaldak.eu=unknown (rate_limited),,,,info@totaaldak.eu,valid=0; invalid=0; risky=0; unknown=1
7249,>30M,smartperformers.com,no,,,0,0,https://corporatecondition.typeform.com/to/B7oJnSCh,https://corporatecondition.typeform.com/to/B7oJnSCh,contact_pages,https://smartperformers.com/,ok,200,1,harald@riisthomsen.dk ; info@smartperformers.com,,harald@riisthomsen.dk ; info@smartperformers.com,showing_email_candidates,not_flagged,,info@smartperformers.com,,,,harald@riisthomsen.dk,info@smartperformers.com,,,info@smartperformers.com=unknown (rate_limited),,,,info@smartperformers.com,valid=0; invalid=0; risky=0; unknown=1
7261,>30M,mutanium.com,no,,,0,0,,,contact_pages,https://www.mutanium.com/,unavailable,200,0,sales@mutanium.com,,sales@mutanium.com,showing_email_candidates,not_flagged,,sales@mutanium.com,,,,,sales@mutanium.com,,,sales@mutanium.com=unknown (rate_limited),,,,sales@mutanium.com,valid=0; invalid=0; risky=0; unknown=1
7263,>30M,saunahouse.com,yes,,,0,0,,,contact_pages,https://www.saunahouse.com/,ok,200,1,press@saunahouse.com ; primary_-_horizontal_logotype_-_no_tagline_-_dark_jungle_green_2x_e1cf5d4c-fdf0-4e79-b9e0-067b33b28be7_330x@2x.png ; sauna-house-logo-light_200x@2x.svg ; sauna-house-logo-light_220x@2x.svg ; sauna-house-logo_200x@2x.svg ; sauna-house-logo_220x@2x.svg,,press@saunahouse.com ; primary_-_horizontal_logotype_-_no_tagline_-_dark_jungle_green_2x_e1cf5d4c-fdf0-4e79-b9e0-067b33b28be7_330x@2x.png ; sauna-house-logo-light_200x@2x.svg ; sauna-house-logo-light_220x@2x.svg ; sauna-house-logo_200x@2x.svg ; sauna-house-logo_220x@2x.svg,showing_email_candidates,not_flagged,,press@saunahouse.com,,,,primary_-_horizontal_logotype_-_no_tagline_-_dark_jungle_green_2x_e1cf5d4c-fdf0-4e79-b9e0-067b33b28be7_330x@2x.png ; sauna-house-logo-light_200x@2x.svg ; sauna-house-logo-light_220x@2x.svg ; sauna-house-logo_200x@2x.svg ; sauna-house-logo_220x@2x.svg,press@saunahouse.com,,,press@saunahouse.com=unknown (rate_limited),,,,press@saunahouse.com,valid=0; invalid=0; risky=0; unknown=1
7266,>30M,campanellagroup.com,yes,,,0,0,https://campanellagroup.typeform.com/ ; https://form.typeform.com/to/quMSx91z,https://campanellagroup.typeform.com/ ; https://form.typeform.com/to/quMSx91z,contact_pages,https://campanellagroup.com/,ok,200,1,info@campanellagroup.com,,info@campanellagroup.com,showing_email_candidates,not_flagged,,info@campanellagroup.com,,,,,info@campanellagroup.com,,,info@campanellagroup.com=unknown (rate_limited),,,,info@campanellagroup.com,valid=0; invalid=0; risky=0; unknown=1
7277,>30M,greeklifetravel.com,no,,,0,0,,,contact_pages,https://greeklifetravel.com/,ok,200,2,info@greeklifetravel.com,,info@greeklifetravel.com,showing_email_candidates,not_flagged,,info@greeklifetravel.com,,,,,info@greeklifetravel.com,,,info@greeklifetravel.com=unknown (rate_limited),,,,info@greeklifetravel.com,valid=0; invalid=0; risky=0; unknown=1
7292,>30M,fairybell.com,yes,,,0,0,https://form.typeform.com/to/q1NC9afc,https://form.typeform.com/to/q1NC9afc,contact_pages,https://www.fairybell.com/,ok,200,1,info@fairybell.com,,info@fairybell.com,showing_email_candidates,not_flagged,,info@fairybell.com,,,,,info@fairybell.com,,,info@fairybell.com=unknown (rate_limited),,,,info@fairybell.com,valid=0; invalid=0; risky=0; unknown=1
7295,>30M,gloss-agency.com,no,,,0,0,,,contact_pages,https://www.gloss-agency.com/,ok,200,1,info@gloss-agency.com,,info@gloss-agency.com,showing_email_candidates,not_flagged,,info@gloss-agency.com,,,,,info@gloss-agency.com,,,info@gloss-agency.com=unknown (rate_limited),,,,info@gloss-agency.com,valid=0; invalid=0; risky=0; unknown=1
7306,>30M,benchmark-design.de,yes,,,0,0,,,contact_pages,https://www.benchmark-design.de/,ok,200,1,hello@reinundraus.com ; info@benchmark-design.de,,hello@reinundraus.com ; info@benchmark-design.de,showing_email_candidates,not_flagged,,info@benchmark-design.de,,,,hello@reinundraus.com,info@benchmark-design.de,,,info@benchmark-design.de=unknown (rate_limited),,,,info@benchmark-design.de,valid=0; invalid=0; risky=0; unknown=1
7322,>30M,kennethporterandco.com,yes,,,0,0,https://lnpjui9ugtp.typeform.com/to/Vew1qbf6,https://lnpjui9ugtp.typeform.com/to/Vew1qbf6,contact_pages,https://kennethporterandco.com/,ok,200,2,greg@cranium21.com ; team@kennethporterandco.com,,greg@cranium21.com ; team@kennethporterandco.com,showing_email_candidates,not_flagged,,team@kennethporterandco.com,,,,greg@cranium21.com,team@kennethporterandco.com,,,team@kennethporterandco.com=unknown (rate_limited),,,,team@kennethporterandco.com,valid=0; invalid=0; risky=0; unknown=1
7339,>30M,ullmann-logistik.com,yes,,,0,0,https://pixeltypen.typeform.com/,https://pixeltypen.typeform.com/,contact_pages,https://ullmann-logistik.com/,unavailable,200,1,info@ullmann-logistik.com ; personal@ullmann-logistik.com,,info@ullmann-logistik.com ; personal@ullmann-logistik.com,showing_email_candidates,not_flagged,,info@ullmann-logistik.com,,,,personal@ullmann-logistik.com,info@ullmann-logistik.com,,,info@ullmann-logistik.com=unknown (rate_limited),,,,info@ullmann-logistik.com,valid=0; invalid=0; risky=0; unknown=1
7344,>30M,hopenyc.org,yes,,,0,0,https://hopenyc.typeform.com/to/QGK3NYF2,https://hopenyc.typeform.com/to/QGK3NYF2,contact_pages,https://www.hopenyc.org/,ok,200,2,info@hopenyc.org,,info@hopenyc.org,showing_email_candidates,not_flagged,,info@hopenyc.org,,,,,info@hopenyc.org,,,info@hopenyc.org=unknown (rate_limited),,,,info@hopenyc.org,valid=0; invalid=0; risky=0; unknown=1
7352,>30M,years.co,no,,,0,0,,,contact_pages,https://www.years.co/de,ok,200,2,info@years.co,,info@years.co,showing_email_candidates,not_flagged,,info@years.co,,,,,info@years.co,,,info@years.co=unknown (rate_limited),,,,info@years.co,valid=0; invalid=0; risky=0; unknown=1
7369,>30M,jaywalker.ch,no,,,0,0,,,contact_pages,https://jaywalker.ch/,ok,200,2,info@jaywalker.ch ; slick-carousel@1.8.1,,info@jaywalker.ch ; slick-carousel@1.8.1,showing_email_candidates,not_flagged,,info@jaywalker.ch,,,,slick-carousel@1.8.1,info@jaywalker.ch,,,info@jaywalker.ch=unknown (rate_limited),,,,info@jaywalker.ch,valid=0; invalid=0; risky=0; unknown=1
7373,>30M,kidsdds.net,no,,,0,0,,,contact_pages,https://www.kidsdds.net/,ok,200,2,office@kidsdds.net ; ui@4.0,,office@kidsdds.net ; ui@4.0,showing_email_candidates,not_flagged,,office@kidsdds.net,,,,ui@4.0,office@kidsdds.net,,,office@kidsdds.net=unknown (rate_limited),,,,office@kidsdds.net,valid=0; invalid=0; risky=0; unknown=1
7374,>30M,g3passports.com,yes,,,0,0,https://embed.typeform.com/ ; https://form.typeform.com/to/rXhyuu,https://embed.typeform.com/ ; https://form.typeform.com/to/rXhyuu,contact_pages,https://www.g3passports.com/,ok,200,2,info@g3passports.com,,info@g3passports.com,showing_email_candidates,not_flagged,,info@g3passports.com,,,,,info@g3passports.com,,,info@g3passports.com=unknown (rate_limited),,,,info@g3passports.com,valid=0; invalid=0; risky=0; unknown=1
7381,>30M,greenhillacademics.com,yes,,,0,0,https://pv9jxytw1zd.typeform.com/to/A8CtEulw,https://pv9jxytw1zd.typeform.com/to/A8CtEulw,contact_pages,https://greenhillacademics.com/,ok,200,2,feature-icon@2x-1.svg ; feature-icon@2x-2.svg ; feature-icon@2x-3.svg ; feature-icon@2x-4.svg ; feature-icon@2x-5.svg ; feature-icon@2x.svg ; info@greenhillacademics.com,,feature-icon@2x-1.svg ; feature-icon@2x-2.svg ; feature-icon@2x-3.svg ; feature-icon@2x-4.svg ; feature-icon@2x-5.svg ; feature-icon@2x.svg ; info@greenhillacademics.com,showing_email_candidates,not_flagged,,info@greenhillacademics.com,,,,feature-icon@2x-1.svg ; feature-icon@2x-2.svg ; feature-icon@2x-3.svg ; feature-icon@2x-4.svg ; feature-icon@2x-5.svg ; feature-icon@2x.svg,info@greenhillacademics.com,,,info@greenhillacademics.com=unknown (rate_limited),,,,info@greenhillacademics.com,valid=0; invalid=0; risky=0; unknown=1
7386,>30M,technologynine.com,yes,,,0,0,https://embed.typeform.com/ ; https://form.typeform.com/to/iWU39337 ; https://uiwhuix7p29.typeform.com/to/iWU39337,https://embed.typeform.com/ ; https://form.typeform.com/to/iWU39337 ; https://uiwhuix7p29.typeform.com/to/iWU39337,contact_pages,https://technologynine.com/,unavailable,200,2,info@technologynine.com,,info@technologynine.com,showing_email_candidates,not_flagged,,info@technologynine.com,,,,,info@technologynine.com,,,info@technologynine.com=unknown (rate_limited),,,,info@technologynine.com,valid=0; invalid=0; risky=0; unknown=1
7388,>30M,thebankingclub.com,no,,,0,0,,,contact_pages,https://www.thebankingclub.com/,unavailable,200,1,team@thebankingclub.com,,team@thebankingclub.com,showing_email_candidates,not_flagged,,team@thebankingclub.com,,,,,team@thebankingclub.com,,,team@thebankingclub.com=unknown (rate_limited),,,,team@thebankingclub.com,valid=0; invalid=0; risky=0; unknown=1
7403,>30M,lexplore.com,no,,,0,0,,,contact_pages,https://lexplore.com/,ok,200,2,press@growfasthb.com ; press@lexplore.com,,press@growfasthb.com ; press@lexplore.com,showing_email_candidates,not_flagged,,press@lexplore.com,,,,press@growfasthb.com,press@lexplore.com,,,press@lexplore.com=unknown (rate_limited),,,,press@lexplore.com,valid=0; invalid=0; risky=0; unknown=1
7404,>30M,hirainstitute.org,yes,,,0,0,https://hirainstitute.typeform.com/to/Das01Okd ; https://hirainstitute.typeform.com/to/mXRhyOUk ; https://hirainstitute.typeform.com/to/o5CsgQm3,https://hirainstitute.typeform.com/to/Das01Okd ; https://hirainstitute.typeform.com/to/mXRhyOUk ; https://hirainstitute.typeform.com/to/o5CsgQm3,contact_pages,https://hirainstitute.org/,ok,200,1,compassion@hirainstitute.org ; hr@hirainstitute.org ; info@hirainstitute.org ; seminary@hirainstitute.org ; store@hirainstitute.org ; tether@1.2.4 ; waqar@hirainstitute.org,,compassion@hirainstitute.org ; hr@hirainstitute.org ; info@hirainstitute.org ; seminary@hirainstitute.org ; store@hirainstitute.org ; tether@1.2.4 ; waqar@hirainstitute.org,showing_email_candidates,not_flagged,,hr@hirainstitute.org ; info@hirainstitute.org,,,,compassion@hirainstitute.org ; seminary@hirainstitute.org ; store@hirainstitute.org ; tether@1.2.4 ; waqar@hirainstitute.org,hr@hirainstitute.org ; info@hirainstitute.org,,,hr@hirainstitute.org=valid (valid_mailbox) ; info@hirainstitute.org=unknown (rate_limited),hr@hirainstitute.org,,,info@hirainstitute.org,valid=1; invalid=0; risky=0; unknown=1
7405,>30M,dominiquecreation.fr,no,,,0,0,,,contact_pages,https://www.dominiquecreation.fr/,ok,200,1,contact@dominiquecreation.fr,,contact@dominiquecreation.fr,showing_email_candidates,not_flagged,,contact@dominiquecreation.fr,,,,,contact@dominiquecreation.fr,,,contact@dominiquecreation.fr=invalid (disposable),,contact@dominiquecreation.fr,,,valid=0; invalid=1; risky=0; unknown=0
7406,>30M,chauffage-infrarouge.eu,yes,,,0,0,https://nrlz1tfq096.typeform.com/to/ZDI8R1C4,https://nrlz1tfq096.typeform.com/to/ZDI8R1C4,contact_pages,https://chauffage-infrarouge.eu/,ok,200,0,info@chauffage-infrarouge.eu,,info@chauffage-infrarouge.eu,showing_email_candidates,not_flagged,,info@chauffage-infrarouge.eu,,,,,info@chauffage-infrarouge.eu,,,info@chauffage-infrarouge.eu=unknown (rate_limited),,,,info@chauffage-infrarouge.eu,valid=0; invalid=0; risky=0; unknown=1
7410,>30M,982x.com,yes,,,0,0,https://form.typeform.com/to/eb06Qx0a,https://form.typeform.com/to/eb06Qx0a,contact_pages,https://www.982x.com/,ok,200,0,office@982x.com,,office@982x.com,showing_email_candidates,not_flagged,,office@982x.com,,,,,office@982x.com,,,office@982x.com=unknown (rate_limited),,,,office@982x.com,valid=0; invalid=0; risky=0; unknown=1
7424,>30M,freeflowfit.com,yes,,,0,0,https://9cllbag2emo.typeform.com/to/jH1OReDI,https://9cllbag2emo.typeform.com/to/jH1OReDI,contact_pages,https://freeflowfit.com/,ok,200,0,slick@1.8.1 ; support@freeflowfit.com,,slick@1.8.1 ; support@freeflowfit.com,showing_email_candidates,not_flagged,,support@freeflowfit.com,,,,slick@1.8.1,support@freeflowfit.com,,,support@freeflowfit.com=unknown (rate_limited),,,,support@freeflowfit.com,valid=0; invalid=0; risky=0; unknown=1
7425,>30M,resourcedynamics.com,yes,,,0,0,https://uwnt1bu5k9m.typeform.com/to/zim65vag,https://uwnt1bu5k9m.typeform.com/to/zim65vag,contact_pages,https://resourcedynamics.com/,ok,200,0,info@resourcedynamics.com,,info@resourcedynamics.com,showing_email_candidates,not_flagged,,info@resourcedynamics.com,,,,,info@resourcedynamics.com,,,info@resourcedynamics.com=unknown (rate_limited),,,,info@resourcedynamics.com,valid=0; invalid=0; risky=0; unknown=1
7430,>30M,hsb-me.com,no,,,0,0,,,contact_pages,https://hsb-me.com/,ok,200,2,info@hsb-me.com,,info@hsb-me.com,showing_email_candidates,not_flagged,,info@hsb-me.com,,,,,info@hsb-me.com,,,info@hsb-me.com=unknown (rate_limited),,,,info@hsb-me.com,valid=0; invalid=0; risky=0; unknown=1
7434,>30M,suntropic.eu,no,,,0,0,,,contact_pages,https://suntropic.eu/,ok,200,0,sales@suntropic.eu ; servis@suntropic.eu,,sales@suntropic.eu ; servis@suntropic.eu,showing_email_candidates,not_flagged,,sales@suntropic.eu,,,,servis@suntropic.eu,sales@suntropic.eu,,,sales@suntropic.eu=unknown (rate_limited),,,,sales@suntropic.eu,valid=0; invalid=0; risky=0; unknown=1
7444,>30M,independentwomen.com,no,,,0,0,,,contact_pages,http://www.independentwomen.com/,ok,200,2,affordability@independentwomen.com ; jamie.whitefield@independentwomen.com ; namber@independentwomen.com ; palmbeach@independentwomen.com ; popper.js@1.16.0 ; press@independentwomen.com ; u003eaffordability@independentwomen.com ; u003einvest@independentwomen.com ; u003ejamie.whitefield@independentwomen.com ; u003epalmbeach@independentwomen.com ; u00a0info@independentwomen.com,,affordability@independentwomen.com ; jamie.whitefield@independentwomen.com ; namber@independentwomen.com ; palmbeach@independentwomen.com ; popper.js@1.16.0 ; press@independentwomen.com ; u003eaffordability@independentwomen.com ; u003einvest@independentwomen.com ; u003ejamie.whitefield@independentwomen.com ; u003epalmbeach@independentwomen.com ; u00a0info@independentwomen.com,showing_email_candidates,not_flagged,,press@independentwomen.com,,,,affordability@independentwomen.com ; jamie.whitefield@independentwomen.com ; namber@independentwomen.com ; palmbeach@independentwomen.com ; popper.js@1.16.0 ; u003eaffordability@independentwomen.com ; u003einvest@independentwomen.com ; u003ejamie.whitefield@independentwomen.com ; u003epalmbeach@independentwomen.com ; u00a0info@independentwomen.com,press@independentwomen.com,,,press@independentwomen.com=unknown (rate_limited),,,,press@independentwomen.com,valid=0; invalid=0; risky=0; unknown=1
7446,>30M,ashaesthetics.com,yes,,,0,0,https://form.typeform.com/to/m7FDW1Sk,https://form.typeform.com/to/m7FDW1Sk,contact_pages,https://www.ashaesthetics.com/,ok,200,2,info@ashaesthetics.com ; splide@3.2.2,,info@ashaesthetics.com ; splide@3.2.2,showing_email_candidates,not_flagged,,info@ashaesthetics.com,,,,splide@3.2.2,info@ashaesthetics.com,,,info@ashaesthetics.com=unknown (rate_limited),,,,info@ashaesthetics.com,valid=0; invalid=0; risky=0; unknown=1
7448,>30M,dentistryonthornhillwoods.com,no,,,0,0,,,contact_pages,https://dentistryonthornhillwoods.com/,ok,200,2,info@dentistryonthornhillwoods.com,,info@dentistryonthornhillwoods.com,showing_email_candidates,not_flagged,,info@dentistryonthornhillwoods.com,,,,,info@dentistryonthornhillwoods.com,,,info@dentistryonthornhillwoods.com=unknown (rate_limited),,,,info@dentistryonthornhillwoods.com,valid=0; invalid=0; risky=0; unknown=1
7461,>30M,snhma.com,yes,,,0,0,https://form.typeform.com/to/qMAezDO0,https://form.typeform.com/to/qMAezDO0,contact_pages,https://snhma.com/,ok,200,2,info@snhma.com ; snhmergersacquisitionscopy@snhcap.com,,info@snhma.com ; snhmergersacquisitionscopy@snhcap.com,showing_email_candidates,not_flagged,,info@snhma.com,,,,snhmergersacquisitionscopy@snhcap.com,info@snhma.com,,,info@snhma.com=unknown (rate_limited),,,,info@snhma.com,valid=0; invalid=0; risky=0; unknown=1
7464,>30M,golforb.com,no,,,0,0,https://embed.typeform.com/,https://embed.typeform.com/,contact_pages,https://golforb.com/,unavailable,200,2,support@golforb.com,,support@golforb.com,showing_email_candidates,not_flagged,,support@golforb.com,,,,,support@golforb.com,,,support@golforb.com=unknown (rate_limited),,,,support@golforb.com,valid=0; invalid=0; risky=0; unknown=1
7477,>30M,stretchdollar.com,no,,,0,0,https://stretchdollar.typeform.com/,https://stretchdollar.typeform.com/,contact_pages,https://www.stretchdollar.com/,ok,200,2,dolly@stretchdollar.com ; dotlottie-wc@0.9.14 ; lumious-components@1.0.6 ; support@stretchdollar.com,,dolly@stretchdollar.com ; dotlottie-wc@0.9.14 ; lumious-components@1.0.6 ; support@stretchdollar.com,showing_email_candidates,not_flagged,,support@stretchdollar.com,,,,dolly@stretchdollar.com ; dotlottie-wc@0.9.14 ; lumious-components@1.0.6,support@stretchdollar.com,,,support@stretchdollar.com=unknown (rate_limited),,,,support@stretchdollar.com,valid=0; invalid=0; risky=0; unknown=1
7478,>30M,vdlkonings.com,no,,,0,0,,,contact_pages,https://www.vdlkonings.com/nl,ok,200,1,info@vdlkonings.com,,info@vdlkonings.com,showing_email_candidates,not_flagged,,info@vdlkonings.com,,,,,info@vdlkonings.com,,,info@vdlkonings.com=unknown (rate_limited),,,,info@vdlkonings.com,valid=0; invalid=0; risky=0; unknown=1
7483,>30M,valuefilter.com,no,,,0,0,,,contact_pages,https://valuefilter.com/,ok,200,1,support@valuefilter.com,,support@valuefilter.com,showing_email_candidates,not_flagged,,support@valuefilter.com,,,,,support@valuefilter.com,,,support@valuefilter.com=unknown (rate_limited),,,,support@valuefilter.com,valid=0; invalid=0; risky=0; unknown=1
7491,>30M,harperharrison.com,no,,,0,0,,,contact_pages,https://www.harperharrison.com/,ok,200,2,c.sykes@harperharrison.com ; g.elabridi@harperharrison.com ; h.farr@harperharrison.com ; h.feinberg@harperharrison.com ; info@harperharrison.com ; info@pipermaddox.com ; j.bentwood@harperharrison.com ; j.greaves@harperharrison.com ; j.holmes@harperharrison.com ; j.moore@harperharrison.com ; l.caswell@wearelhi.com ; m.copeland@harperharrison.com ; m.wood@harperharrison.com ; s.henry@harperharrison.com ; v.eatz@harperharrison.com,,c.sykes@harperharrison.com ; g.elabridi@harperharrison.com ; h.farr@harperharrison.com ; h.feinberg@harperharrison.com ; info@harperharrison.com ; info@pipermaddox.com ; j.bentwood@harperharrison.com ; j.greaves@harperharrison.com ; j.holmes@harperharrison.com ; j.moore@harperharrison.com ; l.caswell@wearelhi.com ; m.copeland@harperharrison.com ; m.wood@harperharrison.com ; s.henry@harperharrison.com ; v.eatz@harperharrison.com,showing_email_candidates,not_flagged,,info@harperharrison.com,,,,c.sykes@harperharrison.com ; g.elabridi@harperharrison.com ; h.farr@harperharrison.com ; h.feinberg@harperharrison.com ; info@pipermaddox.com ; j.bentwood@harperharrison.com ; j.greaves@harperharrison.com ; j.holmes@harperharrison.com ; j.moore@harperharrison.com ; l.caswell@wearelhi.com ; m.copeland@harperharrison.com ; m.wood@harperharrison.com ; s.henry@harperharrison.com ; v.eatz@harperharrison.com,info@harperharrison.com,,,info@harperharrison.com=unknown (rate_limited),,,,info@harperharrison.com,valid=0; invalid=0; risky=0; unknown=1
7497,>30M,kaleidoscopemg.com,yes,,,0,0,https://form.typeform.com/to/Z7au0TdX,https://form.typeform.com/to/Z7au0TdX,contact_pages,https://www.kaleidoscopemg.com/,ok,200,2,info@kaleidoscopemg.com,,info@kaleidoscopemg.com,showing_email_candidates,not_flagged,,info@kaleidoscopemg.com,,,,,info@kaleidoscopemg.com,,,info@kaleidoscopemg.com=unknown (rate_limited),,,,info@kaleidoscopemg.com,valid=0; invalid=0; risky=0; unknown=1
